obsID,birdID,date_time,latitude,longitude,speed,timelbl2,timelbl3,place,OB3,OB8,OB16,SA3,SA8
3817,166,7/21/2009 0:19,53.4756842,6.2221782,0.014142136,Night,Night,Mudflats_Territory,,,,no locomotion,body care
3818,166,7/21/2009 0:49,53.4754282,6.2230092,0.166132477,,,,,,,ter. locomotion,forage
3819,166,7/21/2009 1:19,53.4751933,6.2225952,0.12328828,,,,,,,no locomotion,sit
3820,166,7/21/2009 1:49,53.4762364,6.2230608,0.517783739,Night,Night,Mudflats_Territory,,,,no locomotion,body care
3821,166,7/21/2009 2:20,53.4759991,6.2220073,0.115758369,,,,,,,ter. locomotion,forage
3822,166,7/21/2009 2:50,53.4763672,6.2219929,0.459782557,Night,Night,Mudflats_Territory,,,,no locomotion,stand
3823,166,7/21/2009 3:21,53.4762389,6.2227332,0.16881943,,,,,,,ter. locomotion,forage
3824,166,7/21/2009 3:51,53.4759435,6.2219834,0.336154726,Night,Night,Mudflats_Territory,,,,ter. locomotion,forage
3825,166,7/21/2009 4:21,53.4758706,6.2230995,,,,,,,,ter. locomotion,forage
3826,166,7/21/2009 4:51,53.4760943,6.2223254,0.283901391,,,,,,,ter. locomotion,forage
3827,166,7/21/2009 5:22,53.476308,6.222076,0.182208672,Night,Twilight,Mudflats_Territory,,,,ter. locomotion,forage
3828,166,7/21/2009 5:52,53.4764495,6.2224864,0.168226038,Day,Twilight,Mudflats_Territory,,,,ter. locomotion,forage
3829,166,7/21/2009 6:22,53.4765067,6.2218523,0.127279221,Day,Twilight,Mudflats_Territory,,,,no locomotion,sit
3830,166,7/21/2009 6:52,53.4764705,6.2218734,0.096436508,Day,Day,Mudflats_Territory,,,,no locomotion,sit
3831,166,7/21/2009 7:22,53.476443,6.221897,0,,,,,,,no locomotion,sit
3832,166,7/21/2009 7:54,53.4767101,6.2310834,0.01,Day,Day,Roost,,,,no locomotion,body care
3833,166,7/21/2009 8:26,53.4766979,6.231112,0.139283883,Day,Day,Roost,,,,no locomotion,sit
3834,166,7/21/2009 8:59,53.4767488,6.2310024,0.195192213,Day,Day,Roost,,,,no locomotion,stand
3835,166,7/21/2009 9:30,53.4766579,6.2310702,0.20976177,Day,Day,Roost,,,,no locomotion,body care
3836,166,7/21/2009 10:01,53.4766687,6.2309944,0.037416574,Day,Day,Roost,,,,no locomotion,sit
3837,166,7/21/2009 10:32,53.4766664,6.2310272,0.106301458,,,,,,,no locomotion,sit
3838,166,7/21/2009 11:03,53.4755768,6.2228139,0.01,,,,,,,no locomotion,body care
3839,166,7/21/2009 11:33,53.4760749,6.2223047,0.177200451,,,,,,,no locomotion,sit
3840,166,7/21/2009 12:03,53.4763776,6.2224122,0.172916165,Day,Day,Mudflats_Territory,,,,ter. locomotion,forage
3841,166,7/21/2009 12:34,53.4760425,6.2224318,0.078740079,Day,Day,Mudflats_Territory,,,,no locomotion,body care
3842,166,7/21/2009 13:04,53.4692087,6.2192356,0.200249844,Day,Day,Mudflats,,,,ter. locomotion,forage
3843,166,7/21/2009 13:34,53.4688962,6.2181965,0.128452326,Day,Day,Mudflats,,,,ter. locomotion,forage
3844,166,7/21/2009 14:05,53.4681469,6.2204032,0.041231056,Day,Day,Mudflats,,,,no locomotion,sit
3845,166,7/21/2009 14:35,53.4660942,6.2199391,0.107238053,Day,Day,Mudflats,,,,no locomotion,stand
3846,166,7/21/2009 15:05,53.4756166,6.2232015,0.054772256,Day,Day,Mudflats_Territory,,,,no locomotion,sit
3847,166,7/21/2009 15:35,53.4758819,6.2228276,0.042426407,Day,Day,Mudflats_Territory,,,,no locomotion,sit
3848,166,7/21/2009 16:06,53.4762786,6.2221832,0,Day,Day,Mudflats_Territory,,,,no locomotion,sit
3849,166,7/21/2009 16:36,53.4760824,6.222575,0.247386338,,,,,,,no locomotion,body care
3850,166,7/21/2009 17:07,53.4759099,6.2230301,0.213541565,Day,Day,Mudflats_Territory,,,,ter. locomotion,forage
3851,166,7/21/2009 17:37,53.476108,6.2221722,0,Day,Day,Mudflats_Territory,,,,no locomotion,sit
3852,166,7/21/2009 18:07,53.4764728,6.2225861,0.446654229,Day,Day,Mudflats_Territory,,,,no locomotion,sit
3853,166,7/21/2009 18:38,53.4767302,6.2228564,0.01,Day,Day,Territory,,,,ter. locomotion,forage
3854,166,7/21/2009 19:08,53.4765201,6.2218789,0,Day,Day,Territory,,,,no locomotion,stand
3855,166,7/21/2009 19:38,53.4764562,6.2218752,0.014142136,Day,Day,Mudflats_Territory,,,,no locomotion,body care
3856,166,7/21/2009 20:09,53.4764832,6.2218928,0.06164414,,,,,,,no locomotion,body care
3857,166,7/21/2009 20:39,53.4764549,6.2218525,0.034641016,Day,Day,Mudflats_Territory,,,,no locomotion,stand
3858,166,7/21/2009 21:10,53.4764588,6.2218549,0.075498344,Day,Twilight,Mudflats_Territory,,,,no locomotion,stand
3859,166,7/21/2009 21:40,53.4764559,6.2218786,0.048989795,Day,Twilight,Mudflats_Territory,,,,no locomotion,stand
3860,166,7/21/2009 22:10,53.4764525,6.2219581,0.080622577,,,,,,,no locomotion,stand
3861,166,7/21/2009 22:40,53.4764619,6.2219641,0.037416574,,,,,,,no locomotion,stand
3862,166,7/21/2009 23:10,53.4765048,6.2218512,0.014142136,Night,Night,Mudflats_Territory,,,,no locomotion,stand
3863,166,7/21/2009 23:40,53.4765129,6.2218311,0.070710678,,,,,,,no locomotion,stand
3864,166,7/22/2009 0:11,53.476174,6.2223282,0.210475652,Night,Night,Mudflats_Territory,,,,no locomotion,sit
3865,166,7/22/2009 0:41,53.4758256,6.222711,0.18973666,,,,,,,ter. locomotion,forage
3866,166,7/22/2009 1:11,53.4756162,6.2227522,0.087749644,,,,,,,no locomotion,sit
3867,166,7/22/2009 1:42,53.4761926,6.2223625,0.014142136,Night,Night,Mudflats_Territory,,,,no locomotion,body care
